name,Id,location,score,length,start,end,Floor,Area,ZX,ZY,length
,105,33950.3,,6.591983333,33943.70802,33956.89198,5,395.519,116.3942266,39.8369663,19.77595
,106,33963.05,,8.7537,33954.2963,33971.8037,6,437.685,116.3957194,39.83697905,26.2611
,107,33991.5469,,15.74946,33975.79744,34007.29636,9,524.982,116.3912989,39.83700755,47.24838
,108,34000.0781,,4.778016667,33995.30008,34004.85612,5,286.681,116.3927871,39.83701608,14.33405
,109,34037.596,,18.35646,34019.23954,34055.95246,6,917.823,116.3922331,39.8370536,55.06938
,110,34048.4764,,7.11315,34041.36325,34055.58955,5,426.789,116.3938697,39.83706448,21.33945
,111,34285.5974,,4.3491,34281.2483,34289.9465,5,260.946,116.3931512,39.8373016,13.0473
,112,34355.6,,4.2884,34351.3116,34359.8884,5,257.304,116.3928029,39.8373716,12.8652
,113,34366.4254,,6.488866667,34359.93653,34372.91427,5,389.332,116.3939606,39.83738243,19.4666
,114,34439.55,,55.56566667,34383.98433,34495.11567,2,8334.85,116.3962389,39.83745555,166.697
,115,34520.85,,1.8262,34519.0238,34522.6762,5,109.572,116.3942014,39.83753685,5.4786
,116,34950.6,,18.06634,34932.53366,34968.66634,6,903.317,116.3921387,39.8379666,54.19902
,117,34982.4,,2.7262,34979.6738,34985.1262,6,136.31,116.392635,39.8379984,8.1786
,118,35216.3587,,11.57768,35204.78102,35227.93638,6,578.884,116.3913503,39.83823236,34.73304
,119,35330.25,,13.90868,35316.34132,35344.15868,6,695.434,116.3921914,39.83834625,41.72604
,120,35353.187,,4.1417,35349.0453,35357.3287,6,207.085,116.3926363,39.83836919,12.4251
,121,35616.6856,,11.71724,35604.96836,35628.40284,6,585.862,116.3913581,39.83863269,35.15172
,122,35638.8,,15.2712,35623.5288,35654.0712,6,763.56,116.3921828,39.8386548,45.8136
,123,35651.25,,7.46342,35643.78658,35658.71342,6,373.171,116.3936957,39.83866725,22.39026
,124,35682.85,,3.8184,35679.0316,35686.6684,6,190.92,116.392609,39.83869885,11.4552
,125,35982.7018,,11.49396,35971.20784,35994.19576,6,574.698,116.3914002,39.8389987,34.48188
,126,36000.4772,,20.9236,35979.5536,36021.4008,6,1046.18,116.392237,39.83901648,62.7708
,127,36034.25,,15.52096,36018.72904,36049.77096,6,776.048,116.3938716,39.83905025,46.56288
,128,36379.3745,,4.96738,36374.40712,36384.34188,6,248.369,116.3914193,39.83939537,14.90214
,129,36408.0086,,2.2696,36405.739,36410.2782,6,113.48,116.3911657,39.83942401,6.8088
,130,36416,,16.354,36399.646,36432.354,6,817.7,116.3921297,39.839432,49.062
,131,36492.1,,2.18806,36489.91194,36494.28806,6,109.403,116.3926165,39.8395081,6.56418
,132,36532.1282,,7.6034,36524.5248,36539.7316,3,760.34,116.3952583,39.83954813,22.8102
,133,36601.35,,24.2506,36577.0994,36625.6006,6,1212.53,116.3940613,39.83961735,72.7518
,134,36704.9,,7.391866667,36697.50813,36712.29187,1,2217.56,116.3933179,39.8397209,22.1756
,135,36749.2978,,5.7079,36743.5899,36755.0057,6,285.395,116.3913961,39.8397653,17.1237
,136,36780.3121,,1.99395,36778.31815,36782.30605,6,99.6975,116.3911583,39.83979631,5.98185
,137,36787.4485,,21.4068,36766.0417,36808.8553,6,1070.34,116.3921178,39.83980345,64.2204
,138,36804.8209,,2.00706,36802.81384,36806.82796,3,200.706,116.3954415,39.83982082,6.02118
,139,36843.0599,,2.26884,36840.79106,36845.32874,6,113.442,116.3925764,39.83985906,6.80652
,140,37103.0253,,0.437923333,37102.58738,37103.46322,1,131.377,116.3911435,39.84011903,1.31377
,141,37133.75,,12.53744,37121.21256,37146.28744,6,626.872,116.3920999,39.84014975,37.61232
,142,37243.85,,4.943633333,37238.90637,37248.79363,5,296.618,116.3938718,39.84025985,14.8309
,143,37315.4169,,0.241693667,37315.17521,37315.65859,1,72.5081,116.3951218,39.84033142,0.725081
,144,37392.2247,,3.83828,37388.38642,37396.06298,6,191.914,116.3912253,39.84040822,11.51484
,145,37489.2756,,6.798016667,37482.47758,37496.07362,5,407.881,116.3940777,39.84050528,20.39405
,146,37502.15,,12.7301,37489.4199,37514.8801,6,636.505,116.391595,39.84051815,38.1903
,147,37511.35,,14.15268,37497.19732,37525.50268,6,707.634,116.3922471,39.84052735,42.45804
,148,37789.4,,3.738533333,37785.66147,37793.13853,5,224.312,116.3952847,39.8408054,11.2156
,149,37805.379,,5.004516667,37800.37448,37810.38352,5,300.271,116.3938656,39.84082138,15.01355
,150,37879.6258,,2.690816667,37876.93498,37882.31662,5,161.449,116.3950675,39.84089563,8.07245
,151,38044.7228,,4.68672,38040.03608,38049.40952,2,703.008,116.3957178,39.84106072,14.06016
,152,38057.8226,,38.1854,38019.6372,38096.008,6,1909.27,116.3918702,39.84107382,114.5562
,153,38062.8582,,7.04665,38055.81155,38069.90485,5,422.799,116.3940464,39.84107886,21.13995
,154,38071.9792,,2.554493333,38069.42471,38074.53369,2,383.174,116.3977446,39.84108798,7.66348
,155,38087.2519,,2.950213333,38084.30169,38090.20211,2,442.532,116.3968519,39.84110325,8.85064
,156,38094.2522,,2.716193333,38091.53601,38096.96839,2,407.429,116.3973668,39.84111025,8.14858
,157,38110.6747,,5.226516667,38105.44818,38115.90122,5,313.591,116.39524,39.84112667,15.67955
,158,38201.2384,,2.912783333,38198.32562,38204.15118,5,174.767,116.3950171,39.84121724,8.73835
,159,38258.9,,2.355093333,38256.54491,38261.25509,2,353.264,116.3973611,39.8412749,7.06528
,160,38263.3,,2.826133333,38260.47387,38266.12613,2,423.92,116.3968515,39.8412793,8.4784
,161,38367.765,,78.0516,38289.7134,38445.8166,22,1064.34,116.3983708,39.84138377,234.1548
,162,38390.6684,,63.42856667,38327.23983,38454.09697,22,864.935,116.3975823,39.84140667,190.2857
,163,38421.0019,,3.03044,38417.97146,38424.03234,2,454.566,116.396852,39.841437,9.09132
,164,38423.9,,1.190746667,38422.70925,38425.09075,2,178.612,116.3972424,39.8414399,3.57224
,165,38477.1517,,23.6644,38453.4873,38500.8161,6,1183.22,116.3914184,39.84149315,70.9932
,166,38488.8895,,5.39096,38483.49854,38494.28046,2,808.644,116.3956428,39.84150489,16.17288
,167,38504.6918,,15.455,38489.2368,38520.1468,6,772.75,116.3923468,39.84152069,46.365
,168,38578.9,,3.637613333,38575.26239,38582.53761,2,545.642,116.3968587,39.8415949,10.91284
,169,38704.1323,,6.92202,38697.21028,38711.05432,3,692.202,116.3978375,39.84172013,20.76606
,170,38762.75,,1.353606667,38761.39639,38764.10361,2,203.041,116.3967212,39.84177875,4.06082
,171,38841.9407,,2.88162,38839.05908,38844.82232,3,288.162,116.3975795,39.84185794,8.64486
,172,38850.1907,,2.63269,38847.55801,38852.82339,3,263.269,116.3978884,39.84186619,7.89807
,173,38882.877,,22.7836,38860.0934,38905.6606,6,1139.18,116.391392,39.84189888,68.3508
,174,38902.3578,,14.30068,38888.05712,38916.65848,6,715.034,116.3923343,39.84191836,42.90204
,175,39059.6068,,2.659636667,39056.94716,39062.26644,1,797.891,116.3965369,39.84207561,7.97891
,176,39210.7662,,57.41274,39153.35346,39268.17894,22,782.901,116.3973872,39.84222677,172.23822
,177,39286.478,,1.763493333,39284.71451,39288.24149,2,264.524,116.3955911,39.84230248,5.29048
,178,39311.2165,,13.49502,39297.72148,39324.71152,6,674.751,116.392292,39.84232722,40.48506
,179,39324.1274,,20.9572,39303.1702,39345.0846,6,1047.86,116.3913503,39.84234013,62.8716
,180,39357.6969,,11.36823333,39346.32867,39369.06513,5,682.094,116.395148,39.8423737,34.1047
,181,39383.8316,,6.836333333,39376.99527,39390.66793,2,1025.45,116.3959168,39.84239983,20.509
,182,39661.0947,,62.35313333,39598.74157,39723.44783,22,850.27,116.3968308,39.84267709,187.0594
,183,39759.2327,,28.3744,39730.8583,39787.6071,6,1418.72,116.3917047,39.84277523,85.1232
,184,39896.39,,11.17013333,39885.21987,39907.56013,1,3351.04,116.3994024,39.84291239,33.5104
,185,39946.9687,,13.54876667,39933.41993,39960.51747,5,812.926,116.3950383,39.84296297,40.6463
,186,40109.175,,59.25282,40049.92218,40168.42782,22,807.993,116.396247,39.84312518,177.75846
,187,40114.3491,,27.5384,40086.8107,40141.8875,6,1376.92,116.3920439,39.84313035,82.6152
,188,40133.35,,14.252,40119.098,40147.602,4,1068.9,116.3897895,39.84314935,42.756
,189,40243.5234,,2.543206667,40240.98019,40246.06661,2,381.481,116.3909965,39.84325952,7.62962
,190,40428.3182,,7.1626,40421.1556,40435.4808,5,429.756,116.3951196,39.84344432,21.4878
,191,40626.35,,2.58638,40623.76362,40628.93638,3,258.638,116.3895652,39.84364235,7.75914
,192,40637.6,,5.78778,40631.81222,40643.38778,3,578.778,116.3891391,39.8436536,17.36334
,193,40668.4253,,2.26436,40666.16094,40670.68966,1,679.308,116.3900839,39.84368443,6.79308
,194,40705.75,,3.21324,40702.53676,40708.96324,3,321.324,116.3953414,39.84372175,9.63972
,195,40722.137,,80.6672,40641.4698,40802.8042,16,1512.51,116.3920767,39.84373814,242.0016
,196,40776.2758,,5.118183333,40771.15762,40781.39398,5,307.091,116.3949655,39.84379228,15.35455
,197,40832.469,,42.6688,40789.8002,40875.1378,6,2133.44,116.3984901,39.84384847,128.0064
,198,40884.8576,,9.57784,40875.27976,40894.43544,4,718.338,116.3975877,39.84390086,28.73352
大红门,199,41013.2,,47.98966667,40965.21033,41061.18967,2,7198.45,116.39225,39.8440292,143.969
,200,41066.9055,,17.5954,41049.3101,41084.5009,6,879.77,116.3992518,39.84408291,52.7862
,201,41184.1913,,13.191,41171.0003,41197.3823,6,659.55,116.3880426,39.84420019,39.573
,202,41279.5968,,1.51029,41278.08651,41281.10709,1,453.087,116.3887155,39.8442956,4.53087
